Date,Type,Link
2024-06-14 04:34:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7206704301522534401
2024-06-13 17:29:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7207060396648591360
2024-06-09 06:42:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7203425626253438976
2024-06-08 15:44:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7205220585352683521
2024-06-08 13:56:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7204089021726085120
2024-06-06 22:23:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7204602403822669824
2024-06-05 18:08:46,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7204181003605524480
2024-06-04 15:44:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7203781986115661825
2024-05-29 03:44:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7200629353615953920
2024-05-26 13:02:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4371519-7200478989662998528
2024-05-22 19:20:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7199121883642925056
2024-05-17 19:29:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7197309902069895169
2024-05-15 17:33:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7196540750241665024
2024-05-12 20:45:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7195497962213457922
2024-05-11 08:29:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7194689417918222336
2024-05-11 08:23:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7194699431974256640
2024-05-10 16:55:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7194741275357564928
2024-05-10 16:36:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7194734063541268484
2024-05-08 21:12:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7194071473542545408
2024-05-07 20:14:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7193562245472133121
2024-05-03 11:58:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7192070723081809921
2024-05-03 11:30:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7192118174979379200
2024-04-28 20:48:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7190448388696326144
2024-04-27 08:36:56,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7189531519743381505%29
2024-04-22 05:38:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188041800538832896
2024-04-20 12:24:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7187300214582493185
2024-04-20 07:48:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7187004514724417536
2024-04-19 21:35:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7186409043584831488
2024-04-19 21:23:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7187064919962337281
2024-04-19 21:23:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7186980148074680322
2024-04-19 18:20:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7187002691473072129
2024-04-19 16:08:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7185624677841518593
2024-04-19 15:35:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7187109161409683456
2024-04-17 16:03:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7186374385404952576
2024-04-15 11:02:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183701939560325120
2024-04-14 14:17:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7185176362708594688%29
2024-04-14 14:17:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7185105993922449408%29
2024-04-13 22:10:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7184968457111691264%29
2024-04-13 22:08:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7184814024272863232%29
2024-04-13 13:16:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184579714290704384
2024-04-13 10:54:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7184671398374608898%2C7184863061122433025%29
2024-04-13 08:12:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184726608476266496
2024-04-12 07:08:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184445376479850496
2024-04-12 06:14:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184427979798704128
2024-04-11 16:16:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184197905619054592
2024-04-10 10:19:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183717567541198848
2024-04-10 07:07:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183710869338370049
2024-04-09 10:43:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183405758418477056
2024-04-06 12:41:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181768357304483843
2024-03-23 07:45:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176853619953065987
2024-03-23 05:43:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176999699084623872
2024-03-22 00:22:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7176505328140726272
2024-03-21 18:02:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7176636163833667585
2024-03-21 17:21:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7176613636767916032
2024-03-21 13:24:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176545829598466048
2024-03-18 14:39:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7175441164014075905
2024-03-18 10:19:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7175434241055350786
2024-03-16 18:05:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174766120908824576
2024-03-14 20:16:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7174097749393424384
2024-03-14 07:08:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7173935936601268224
2024-03-13 07:11:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173311753420845056
2024-03-08 17:17:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7171886759381864448
2024-03-06 21:39:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7171239951659847683
2024-03-03 15:50:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166356922210754562
2024-03-02 10:13:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168568976665513984
2024-03-01 06:20:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7169204301205127168
